score,text
20,Employment in any foreign country for a limited period of time other than the following employments.
20,Scholarships
20,"Haile Selassie Avenue P.O. Box 30128-00100 Nairobi, KENYA. Telephone: 00254 (2) –317840/41–42/53/64 Fax: 226602 E-mail: governmentpress@kenya.go.ke"
20,Related links
20,"Publications and hard copy items such as Acts and Bills of Parliament, logbooks, manuals, economic survey, Development Plans, Annual Reports of Various Government Departments, Estimates of the Republic of Kenya, Public Accounts Committee, Sessional Papers, Revised Editions of laws of Kenya, Selected Applied Legislation, The controller of Auditor & General Reports as well as self-help books created to assist with the social and economic growth of our citizens, fall under the Publications.

Download the full list of publication available for purchase: Government Press Catalogue In addition, the business unit also offers the following services:"
20,"ABOUT GOVERNMENT PRESS

The Government Press is a Department under the Executive Office of the President as per the Executive Order No. 1 of 2023. It is Kenya's major centralized facility for creating, verifying, distributing, and archiving official Government information. Government Press has been in operation for more than a century, having been established in 1895 by the colonial administration to produce necessary documents for the smooth running of the colonial government. It was later developed into a fully-fledged printing unit to produce materials for the Kenya-Uganda Railway and also for the East African and Uganda protectorate."
20,Notice – Call for Submission of Civic Education Reports By Non- State Actors for the Calendar year 2025
20,Integration of the Export Process in iCMS with the VAT Return in iTax
20,"Kenya Revenue Authority notifies taxpayers and the public that, effective May 2026, the VAT return export data in ICMS will be integrated with the declaration of zero-rated supplies in the VAT return in iTax.

This means that validated export values will be automatically prefilled in the VAT return upon issuance of the relevant export documents by Customs. The change applies to exports to the Single Customs Territory, other foreign countries, Export Processing Zones (EPZs) and Special Economic Zones (SEZs)."
20,Media clarification
20,"KRA notes with disappointment,the erroneous publication of a media article arising from a presentation tabled to the Parliamentary Departmental Committee on Agriculture on Tuesday 3rd, 2018. The misleading article published in the Daily Nation on Thursday, July 5, 2018 and headlined: 'Firms hid behind sugar law to import drugs? provides a distorted and inaccurate report of the KRA?s report to the Departmental committee as presented and duly tabled in the National Assembly.

At the presentation session, the KRA Commissioner General, Mr. John Njiraini was clear on the period when the drugs allegedly entered the country. This was in July 2016 and was not within a duty free window."
20,Issuance of Tax Compliance Certificate (TCC) Not on Halt
20,"The Kenya Revenue Authority (KRA) informs taxpayers that the issuance of Tax Compliance Certificates (TCC) is ongoing.

For taxpayers who have no tax liability, iTax will generate an automatic TCC. However, some taxpayers may experience challenges when applying for the TCC if they have tax compliance related issues. In such cases, the taxpayers will receive a message informing them about the need for verification before the TCC is issued."
20,KRA intercepts gold worth Ksh100m at JKIA
20,"The Kenya Revenue Authority (KRA) has intercepted gold worth KSh100 million at the Jomo Kenyatta International Airport, Nairobi.

The gold is alleged to have been in the custody of a 46-year-old Tanzanian man, seized by KRA Customs officers and a team of security agencies attached at the airport. At least 32,255.50 grams of gold bars and an accompanying invoice of USD859890, worth approximately Ksh.100 million, were found in his possession."
20,Harmonization of customs processes key in trade facilitation: KRA Commissioner General
20,"The Kenya Revenue Authority (KRA) Commissioner General Mr. John Njiraini has today called upon all EAC Revenue Authorities to come up with more innovative ways of addressing emerging customs revenue policy and administrative challenges.

Speaking during the 45th East African Revenue Authorities Commissioners General (EARACGs) and the Regional Joint Coordination Committee Meeting (RJCC) held in Nairobi, Mr Njiraini urged the East African Revenue Authorities Technical Committee (EARATC) to continue devoting their best efforts for the betterment of revenue mobilization and development of Member States."
20,"KRA offices to remain open until Sunday 30th June, 2019"
20,"The Kenya Revenue Authority (KRA) offices will remain open until 30th June 2019, to facilitate payment and filing of tax returns by all PIN holders.

The offices comprises all Customs offices including Jomo Kenyatta International Airport (JKIA) and iTax Service Centers countrywide to facilitate taxpayers to pay and file their 2018 and other prior annual tax returns."
20,KRA wins case to collect taxes on dumped export petroleum from Rayan Logistics Limited
20,"Kenya Revenue Authority (KRA) has won a case to collect taxes from Rayan Logistics Limited and not Kenol Kobil as reported earlier.

The High Court sitting in Nakuru, ordered Rayan Logistics Limited, a transporter, to pay KRA Kshs.3, 954,673 in respect of export petroleum products that was consumed in Kenya."
20,Commissioner of Legal Services & Board Coordination – Paul Matuku
